"Shape","Date","Value"
"rectangle","May-17"," 10"
"rectangle","Nov-13"," 12"
"rectangle","Nov-14"," 8"
"rectangle","Nov-15"," 12"
"rectangle","Nov-16"," 6"
"rectangle","Oct-13"," 15"
"rectangle","Oct-14"," 12"
"rectangle","Oct-15"," 20"
"rectangle","Oct-16"," 8"
"rectangle","Sep-13"," 8"
"rectangle","Sep-14"," 11"
"rectangle","Sep-15"," 11"
"rectangle","Sep-16"," 12"
"sphere","Apr-13"," 33"
"sphere","Apr-14"," 55"
"sphere","Apr-15"," 32"
"sphere","Apr-16"," 26"
"sphere","Apr-17"," 39"
"sphere","Aug-13"," 78"
"sphere","Aug-14"," 37"
"sphere","Aug-15"," 42"
"sphere","Aug-16"," 29"
"sphere","Aug-17"," 16"
"sphere","Dec-13"," 66"
"sphere","Dec-14"," 39"
"sphere","Dec-15"," 30"
"sphere","Dec-16"," 27"
"sphere","Feb-13"," 28"
"sphere","Feb-14"," 33"
"sphere","Feb-15"," 27"
"sphere","Feb-16"," 33"
"sphere","Feb-17"," 33"
"sphere","Jan-13"," 17"
"sphere","Jan-14"," 65"
"sphere","Jan-15"," 45"
"sphere","Jan-16"," 21"
"sphere","Jan-17"," 24"
"sphere","Jul-13"," 86"
"sphere","Jul-14"," 105"
"sphere","Jul-15"," 59"
"sphere","Jul-16"," 41"
"sphere","Jul-17"," 35"
"sphere","Jun-13"," 61"
"sphere","Jun-14"," 58"
"sphere","Jun-15"," 26"
"sphere","Jun-16"," 31"
"sphere","Jun-17"," 26"
"sphere","Mar-13"," 25"
"sphere","Mar-14"," 35"
"sphere","Mar-15"," 22"
"sphere","Mar-16"," 24"
"sphere","Mar-17"," 26"
"sphere","May-13"," 38"
"sphere","May-14"," 60"
"sphere","May-15"," 50"
"sphere","May-16"," 25"
"sphere","May-17"," 25"
"sphere","Nov-13"," 63"
"sphere","Nov-14"," 43"
"sphere","Nov-15"," 35"
"sphere","Nov-16"," 22"
"sphere","Oct-13"," 54"
"sphere","Oct-14"," 60"
"sphere","Oct-15"," 45"
"sphere","Oct-16"," 28"
"sphere","Sep-13"," 55"
"sphere","Sep-14"," 54"
"sphere","Sep-15"," 38"
"sphere","Sep-16"," 35"
"triangle","Apr-13"," 42"
"triangle","Apr-14"," 60"
"triangle","Apr-15"," 40"
"triangle","Apr-16"," 41"
"triangle","Apr-17"," 29"
"triangle","Aug-13"," 55"
"triangle","Aug-14"," 67"
"triangle","Aug-15"," 54"
"triangle","Aug-16"," 60"
"triangle","Aug-17"," 15"
